planet,epoch,tc,tc_unc,facility
0,0,2454992.109952,0.001302,Kepler
0,1,2455037.263058,0.001217,Kepler
0,2,2455082.415249,0.001309,Kepler
0,3,2455127.573755,0.001128,Kepler
0,4,2455172.726897,0.001105,Kepler
0,5,2455217.87876,0.001163,Kepler
0,6,2455263.03429,0.000902,Kepler
0,8,2455353.343274,0.000941,Kepler
0,9,2455398.501569,0.00149,Kepler
0,10,2455443.658314,0.001038,Kepler
0,11,2455488.813322,0.0013,Kepler
0,12,2455533.975129,0.002081,Kepler
0,13,2455579.127458,0.001068,Kepler
0,14,2455624.287704,0.001259,Kepler
0,15,2455669.439564,0.001017,Kepler
0,16,2455714.598954,0.000963,Kepler
0,17,2455759.753909,0.001173,Kepler
0,18,2455804.906551,0.001351,Kepler
0,19,2455850.060224,0.00104,Kepler
0,20,2455895.211901,0.00149,Kepler
0,21,2455940.366461,0.00078,Kepler
0,22,2455985.518965,0.00101,Kepler
0,23,2456030.677376,0.000729,Kepler
0,24,2456075.830125,0.001007,Kepler
0,25,2456120.98444,0.001003,Kepler
0,26,2456166.142905,0.001206,Kepler
0,27,2456211.299892,0.001047,Kepler
0,28,2456256.454137,0.001249,Kepler
0,29,2456301.613169,0.001246,Kepler
0,51,2457295.03189,0.00286,HST
0,57,2457565.95248,0.00398,HST
0,74,2458333.593436406,0.0015133929526755,180802-m2-lco
0,81,2458649.691165324,0.001910203633064,190614-m2
0,108,2459868.8767029764,0.0011107135935538,221015-m3
0,113,2460094.6574,0.0011,apo
1,0,2455043.004495,0.005137,Kepler
1,1,2455128.316184,0.004179,Kepler
1,2,2455213.638179,0.003975,Kepler
1,3,2455298.952178,0.004434,Kepler
1,4,2455384.262084,0.003467,Kepler
1,5,2455469.57068,0.00378,Kepler
1,8,2455725.519872,0.002914,Kepler
1,9,2455810.8416,0.004072,Kepler
1,11,2455981.460746,0.00424,Kepler
1,12,2456066.80698,0.00398,Kepler
1,13,2456152.107979,0.003567,Kepler
1,15,2456322.754306,0.00558,Kepler
1,16,2456408.069082,0.002465,Kepler
1,42,2458626.284317722,0.0094275646964887,190522-m2
1,52,2459479.485232274,0.003617483105876,210921-m2
1,61,2460247.3352,0.0063,hst
1,63,2460417.9712,0.0046,palomar
2,0,2455045.024652,0.00084,Kepler
2,1,2455175.206704,0.000858,Kepler
2,2,2455305.391166,0.000915,Kepler
2,3,2455435.573969,0.000767,Kepler
2,5,2455695.931251,0.001064,Kepler
2,6,2455826.10436,0.000804,Kepler
2,7,2455956.283627,0.001032,Kepler
2,8,2456086.449795,0.00074,Kepler
2,9,2456216.629565,0.000649,Kepler
2,18,2457388.20063,0.00143,HST
2,21,2457778.75336,0.00136,HST
2,25,2458299.4833324845,0.0042622592556556,180629-m2
2,28,2458689.991,0.017,tess
2,31,2459080.477607298,0.003093864419402,200818-trappistn-acton
2,39,2460121.84734,6e-05,jwst
2,40,2460252.021,0.0012,hst
